transaction_id,branch_id,city,date,amount,status
MUM_BR3_63343,MUM_BR3,Mumbai,2025-05-07,8174.78,FAILED
MUM_BR3_26170,MUM_BR3,Mumbai,2025-05-07,6587.9,SUCCESS
MUM_BR3_56279,MUM_BR3,Mumbai,2025-05-07,8955.34,SUCCESS
MUM_BR3_64826,MUM_BR3,Mumbai,2025-05-07,954.0,SUCCESS
MUM_BR3_83159,MUM_BR3,Mumbai,2025-05-07,7454.6,SUCCESS
MUM_BR3_33901,MUM_BR3,Mumbai,2025-05-07,4140.51,SUCCESS
MUM_BR3_99764,MUM_BR3,Mumbai,2025-05-07,1223.97,SUCCESS
MUM_BR3_78701,MUM_BR3,Mumbai,2025-05-07,3336.16,SUCCESS
MUM_BR3_47322,MUM_BR3,Mumbai,2025-05-07,8538.4,FAILED
MUM_BR3_43433,MUM_BR3,Mumbai,2025-05-07,7777.8,FAILED
MUM_BR3_50398,MUM_BR3,Mumbai,2025-05-06,344.01,SUCCESS
MUM_BR3_20861,MUM_BR3,Mumbai,2025-05-06,512.61,FAILED
MUM_BR3_59644,MUM_BR3,Mumbai,2025-05-06,9884.16,SUCCESS
MUM_BR3_30235,MUM_BR3,Mumbai,2025-05-06,7056.71,SUCCESS
MUM_BR3_42085,MUM_BR3,Mumbai,2025-05-06,4567.85,FAILED
MUM_BR3_31433,MUM_BR3,Mumbai,2025-05-06,4166.69,SUCCESS
MUM_BR3_49023,MUM_BR3,Mumbai,2025-05-06,188.19,SUCCESS
MUM_BR3_83490,MUM_BR3,Mumbai,2025-05-06,9790.21,SUCCESS
MUM_BR3_76736,MUM_BR3,Mumbai,2025-05-06,4375.04,SUCCESS
MUM_BR3_21421,MUM_BR3,Mumbai,2025-05-06,2533.17,FAILED
MUM_BR3_46406,MUM_BR3,Mumbai,2025-05-05,6558.39,FAILED
MUM_BR3_84872,MUM_BR3,Mumbai,2025-05-05,5534.1,SUCCESS
MUM_BR3_15972,MUM_BR3,Mumbai,2025-05-05,6711.67,SUCCESS
MUM_BR3_10168,MUM_BR3,Mumbai,2025-05-05,831.32,SUCCESS
MUM_BR3_92951,MUM_BR3,Mumbai,2025-05-05,3166.95,SUCCESS
MUM_BR3_16036,MUM_BR3,Mumbai,2025-05-05,3155.81,SUCCESS
MUM_BR3_76580,MUM_BR3,Mumbai,2025-05-05,9597.59,SUCCESS
MUM_BR3_23809,MUM_BR3,Mumbai,2025-05-05,4716.61,SUCCESS
MUM_BR3_20559,MUM_BR3,Mumbai,2025-05-05,7862.91,SUCCESS
MUM_BR3_72333,MUM_BR3,Mumbai,2025-05-05,8381.45,FAILED
MUM_BR3_48308,MUM_BR3,Mumbai,2025-05-04,7168.18,SUCCESS
MUM_BR3_41240,MUM_BR3,Mumbai,2025-05-04,3902.95,SUCCESS
MUM_BR3_95636,MUM_BR3,Mumbai,2025-05-04,1067.82,SUCCESS
MUM_BR3_39596,MUM_BR3,Mumbai,2025-05-04,1963.95,SUCCESS
MUM_BR3_78254,MUM_BR3,Mumbai,2025-05-04,2432.07,FAILED
MUM_BR3_23057,MUM_BR3,Mumbai,2025-05-04,5043.49,SUCCESS
MUM_BR3_65264,MUM_BR3,Mumbai,2025-05-04,8325.83,FAILED
MUM_BR3_10596,MUM_BR3,Mumbai,2025-05-04,5877.49,SUCCESS
MUM_BR3_40613,MUM_BR3,Mumbai,2025-05-04,2333.51,FAILED
MUM_BR3_24540,MUM_BR3,Mumbai,2025-05-04,9478.06,SUCCESS
MUM_BR3_56980,MUM_BR3,Mumbai,2025-05-03,9841.05,SUCCESS
MUM_BR3_11783,MUM_BR3,Mumbai,2025-05-03,4450.93,FAILED
MUM_BR3_92837,MUM_BR3,Mumbai,2025-05-03,7955.15,SUCCESS
MUM_BR3_13430,MUM_BR3,Mumbai,2025-05-03,5276.43,SUCCESS
MUM_BR3_96313,MUM_BR3,Mumbai,2025-05-03,7732.04,SUCCESS
MUM_BR3_45046,MUM_BR3,Mumbai,2025-05-03,5876.98,SUCCESS
MUM_BR3_82825,MUM_BR3,Mumbai,2025-05-03,5465.19,SUCCESS
MUM_BR3_43869,MUM_BR3,Mumbai,2025-05-03,9940.03,SUCCESS
MUM_BR3_22019,MUM_BR3,Mumbai,2025-05-03,4527.52,SUCCESS
MUM_BR3_32527,MUM_BR3,Mumbai,2025-05-03,9611.71,SUCCESS
MUM_BR3_13830,MUM_BR3,Mumbai,2025-05-02,3924.37,SUCCESS
MUM_BR3_20405,MUM_BR3,Mumbai,2025-05-02,2387.9,SUCCESS
MUM_BR3_71589,MUM_BR3,Mumbai,2025-05-02,4377.16,SUCCESS
MUM_BR3_25317,MUM_BR3,Mumbai,2025-05-02,909.89,SUCCESS
MUM_BR3_46037,MUM_BR3,Mumbai,2025-05-02,1575.05,SUCCESS
MUM_BR3_50075,MUM_BR3,Mumbai,2025-05-02,4902.69,SUCCESS
MUM_BR3_89597,MUM_BR3,Mumbai,2025-05-02,1225.15,FAILED
MUM_BR3_18094,MUM_BR3,Mumbai,2025-05-02,5059.45,SUCCESS
MUM_BR3_31435,MUM_BR3,Mumbai,2025-05-02,8927.41,SUCCESS
MUM_BR3_60486,MUM_BR3,Mumbai,2025-05-02,2452.15,SUCCESS
MUM_BR3_81771,MUM_BR3,Mumbai,2025-05-01,9614.04,SUCCESS
MUM_BR3_64599,MUM_BR3,Mumbai,2025-05-01,6909.01,FAILED
MUM_BR3_28049,MUM_BR3,Mumbai,2025-05-01,3958.94,SUCCESS
MUM_BR3_82108,MUM_BR3,Mumbai,2025-05-01,6333.24,SUCCESS
MUM_BR3_15277,MUM_BR3,Mumbai,2025-05-01,1872.93,FAILED
MUM_BR3_89035,MUM_BR3,Mumbai,2025-05-01,6488.98,FAILED
MUM_BR3_99135,MUM_BR3,Mumbai,2025-05-01,2806.58,SUCCESS
MUM_BR3_73522,MUM_BR3,Mumbai,2025-05-01,6418.3,FAILED
MUM_BR3_36236,MUM_BR3,Mumbai,2025-05-01,7486.8,SUCCESS
MUM_BR3_58077,MUM_BR3,Mumbai,2025-05-01,3898.28,SUCCESS
